alert_id,customer_id,transaction_id,source_agency,alert_type,severity,alert_time
ALERT-0188,CUST-0044,TX-000949,Interpol,Card Fraud Alert,MEDIUM,2026-06-18 14:26:04
ALERT-0189,CUST-0199,TX-004448,OFAC,High-Risk Merchant Interaction,MEDIUM,2026-06-17 14:26:04
ALERT-0190,CUST-0382,TX-008438,FinCEN,High-Risk Merchant Interaction,MEDIUM,2026-07-12 14:26:04
ALERT-0191,CUST-0461,TX-010328,FinCEN,High-Risk Merchant Interaction,MEDIUM,2026-06-11 14:26:05
ALERT-0192,CUST-0066,TX-001388,FIU,Structuring Warning,MEDIUM,2026-07-24 14:26:05
ALERT-0193,CUST-0453,TX-010107,FIU,Structuring Warning,MEDIUM,2026-05-31 14:26:05
ALERT-0194,CUST-0199,TX-004401,FIU,High-Risk Merchant Interaction,MEDIUM,2026-07-22 14:26:05
ALERT-0195,CUST-0220,TX-004782,Interpol,Suspicious Activity Report,MEDIUM,2026-06-28 14:26:05
ALERT-0196,CUST-0008,TX-000107,Interpol,Structuring Warning,MEDIUM,2026-07-21 14:26:05
ALERT-0197,CUST-0108,TX-002482,OFAC,Card Fraud Alert,MEDIUM,2026-07-14 14:26:05
ALERT-0198,CUST-0159,TX-003407,OFAC,Structuring Warning,MEDIUM,2026-06-07 14:26:05
ALERT-0199,CUST-0429,TX-009461,National Crime Agency,Card Fraud Alert,MEDIUM,2026-06-06 14:26:05
ALERT-0200,CUST-0214,TX-004696,OFAC,Card Fraud Alert,MEDIUM,2026-07-22 14:26:05
