device_id,customer_id,device_type,os,ip_address
DEV-00050,CUST-0040,Desktop,Windows,178.74.168.208
DEV-00051,CUST-0041,Desktop,iOS,222.26.25.108
DEV-00052,CUST-0042,Mobile,MacOS,210.14.51.220
DEV-00053,CUST-0043,Desktop,Android,138.138.145.87
DEV-00054,CUST-0044,Mobile,Windows,209.133.28.167
DEV-00055,CUST-0045,Desktop,Android,104.241.227.38
DEV-00056,CUST-0046,Tablet,iOS,57.33.66.127
DEV-00057,CUST-0046,Mobile,Android,154.108.22.41
DEV-00058,CUST-0046,Mobile,Android,216.8.142.96
DEV-00059,CUST-0047,Desktop,iOS,139.207.127.136
DEV-00060,CUST-0048,Mobile,Android,130.167.156.203
DEV-00061,CUST-0049,Mobile,Windows,39.182.206.142
DEV-00062,CUST-0049,Tablet,iOS,125.58.40.82
DEV-00063,CUST-0050,Mobile,Windows,180.189.126.185
DEV-00064,CUST-0051,Mobile,Windows,132.26.139.34
DEV-00065,CUST-0052,Tablet,Windows,199.14.144.0
DEV-00066,CUST-0053,Tablet,Android,100.10.253.23
DEV-00067,CUST-0054,Tablet,Windows,199.176.29.164
DEV-00068,CUST-0055,Mobile,iOS,162.132.146.248
DEV-00069,CUST-0056,Tablet,MacOS,5.2.170.114
DEV-00070,CUST-0057,Mobile,MacOS,73.211.158.97
DEV-00071,CUST-0058,Desktop,MacOS,202.179.78.2
DEV-00072,CUST-0059,Tablet,Windows,199.0.245.80
DEV-00073,CUST-0060,Mobile,iOS,198.48.142.20
DEV-00074,CUST-0060,Mobile,Android,37.215.194.93
DEV-00075,CUST-0061,Desktop,MacOS,148.240.211.86
DEV-00076,CUST-0062,Mobile,Android,131.113.48.237
DEV-00077,CUST-0063,Tablet,Windows,195.180.194.148
DEV-00078,CUST-0064,Mobile,iOS,196.204.59.179
DEV-00079,CUST-0064,Tablet,Android,221.66.136.2
DEV-00080,CUST-0065,Mobile,iOS,35.125.95.126
DEV-00081,CUST-0066,Mobile,Windows,153.161.1.0
DEV-00082,CUST-0067,Mobile,Windows,211.3.145.118
DEV-00083,CUST-0068,Mobile,iOS,100.153.77.236
DEV-00084,CUST-0069,Tablet,Android,133.76.19.157
DEV-00085,CUST-0069,Tablet,Windows,198.164.236.80
DEV-00086,CUST-0070,Desktop,iOS,133.96.227.143
DEV-00087,CUST-0070,Desktop,Windows,79.200.100.118
DEV-00088,CUST-0071,Tablet,Android,184.51.169.62
DEV-00089,CUST-0072,Tablet,Android,199.107.167.87
DEV-00090,CUST-0072,Desktop,Android,40.51.133.4
DEV-00091,CUST-0072,Desktop,Android,207.91.69.14
DEV-00092,CUST-0073,Desktop,iOS,90.78.113.113
DEV-00093,CUST-0074,Tablet,iOS,201.69.1.155
DEV-00094,CUST-0074,Tablet,iOS,209.235.35.238
DEV-00095,CUST-0075,Mobile,iOS,182.179.75.227
DEV-00096,CUST-0075,Desktop,Windows,212.116.107.172
DEV-00097,CUST-0076,Mobile,Windows,182.168.75.165
DEV-00098,CUST-0077,Tablet,MacOS,153.59.55.128
DEV-00099,CUST-0078,Mobile,Android,138.36.192.94
DEV-00100,CUST-0079,Mobile,Windows,138.175.1.229
DEV-00101,CUST-0080,Tablet,iOS,197.231.187.7
DEV-00102,CUST-0080,Mobile,Android,198.60.242.236
DEV-00103,CUST-0081,Desktop,MacOS,223.234.168.188
DEV-00104,CUST-0082,Tablet,Android,170.177.113.254
DEV-00105,CUST-0083,Mobile,iOS,211.187.152.70
DEV-00106,CUST-0083,Mobile,MacOS,185.31.200.159
DEV-00107,CUST-0084,Tablet,Windows,201.193.44.226
DEV-00108,CUST-0084,Mobile,Windows,193.108.108.218
DEV-00109,CUST-0085,Desktop,iOS,177.24.38.227
DEV-00110,CUST-0086,Mobile,iOS,54.205.178.68
DEV-00111,CUST-0087,Desktop,MacOS,181.196.205.115
DEV-00112,CUST-0088,Desktop,Windows,135.229.183.46
DEV-00113,CUST-0089,Tablet,iOS,198.58.15.41
DEV-00114,CUST-0090,Tablet,MacOS,62.171.161.130
DEV-00115,CUST-0091,Tablet,iOS,52.246.103.154
DEV-00116,CUST-0092,Mobile,Windows,178.98.45.94
DEV-00117,CUST-0092,Mobile,iOS,141.196.44.116
DEV-00118,CUST-0093,Mobile,Windows,47.87.45.255
DEV-00119,CUST-0094,Desktop,MacOS,149.51.10.132
DEV-00120,CUST-0094,Mobile,iOS,3.124.76.61
DEV-00121,CUST-0094,Mobile,iOS,157.227.94.60
DEV-00122,CUST-0094,Desktop,MacOS,196.27.112.231
DEV-00123,CUST-0095,Tablet,Windows,128.170.175.144
DEV-00124,CUST-0096,Mobile,iOS,95.13.228.103
DEV-00125,CUST-0097,Tablet,Windows,1.177.71.223
DEV-00126,CUST-0097,Mobile,Windows,209.85.29.70
DEV-00127,CUST-0098,Tablet,Windows,74.229.173.239
DEV-00128,CUST-0098,Mobile,MacOS,196.131.169.78
DEV-00129,CUST-0099,Desktop,iOS,223.3.225.232
DEV-00130,CUST-0100,Desktop,MacOS,178.119.50.114
DEV-00131,CUST-0101,Tablet,MacOS,211.222.68.7
DEV-00132,CUST-0102,Desktop,Windows,212.131.226.143
DEV-00133,CUST-0103,Desktop,Android,122.92.216.36
DEV-00134,CUST-0104,Desktop,iOS,151.137.145.182
DEV-00135,CUST-0105,Desktop,Windows,207.193.178.232
DEV-00136,CUST-0105,Mobile,MacOS,84.14.128.0
DEV-00137,CUST-0105,Tablet,Windows,172.44.91.203
DEV-00138,CUST-0106,Desktop,Windows,222.163.214.126
DEV-00139,CUST-0107,Desktop,MacOS,129.222.220.173
DEV-00140,CUST-0107,Mobile,Windows,145.12.18.162
DEV-00141,CUST-0108,Mobile,Android,191.38.154.41
DEV-00142,CUST-0109,Desktop,MacOS,136.32.51.28
DEV-00143,CUST-0110,Mobile,Windows,218.206.246.121
DEV-00144,CUST-0111,Mobile,iOS,157.66.151.208
DEV-00145,CUST-0112,Desktop,iOS,198.121.164.21
DEV-00146,CUST-0113,Desktop,Android,205.70.30.176
DEV-00147,CUST-0114,Tablet,Windows,21.43.87.230
DEV-00148,CUST-0114,Tablet,iOS,147.214.131.5
DEV-00149,CUST-0115,Tablet,Windows,91.8.231.104
DEV-00150,CUST-0116,Tablet,Android,84.243.215.74
DEV-00151,CUST-0117,Mobile,iOS,159.112.57.49
DEV-00152,CUST-0118,Tablet,MacOS,150.66.93.190
DEV-00153,CUST-0119,Mobile,Android,133.190.87.32
DEV-00154,CUST-0120,Tablet,iOS,218.39.132.39
DEV-00155,CUST-0121,Mobile,iOS,209.253.55.116
DEV-00156,CUST-0122,Desktop,Windows,161.121.217.113
DEV-00157,CUST-0123,Tablet,MacOS,213.97.173.187
DEV-00158,CUST-0124,Mobile,MacOS,200.54.228.150
DEV-00159,CUST-0125,Desktop,MacOS,173.10.12.27
DEV-00160,CUST-0126,Mobile,iOS,107.31.197.184
DEV-00161,CUST-0127,Mobile,MacOS,108.252.145.140
DEV-00162,CUST-0128,Tablet,iOS,116.200.109.212
DEV-00163,CUST-0128,Desktop,Windows,204.247.13.187
DEV-00164,CUST-0129,Desktop,Android,168.55.34.239
DEV-00165,CUST-0130,Tablet,Android,163.142.232.127
DEV-00166,CUST-0131,Tablet,Windows,106.210.21.51
DEV-00167,CUST-0132,Mobile,Windows,179.6.239.200
DEV-00168,CUST-0133,Desktop,MacOS,142.17.240.194
DEV-00169,CUST-0134,Tablet,iOS,42.27.205.85
DEV-00170,CUST-0135,Desktop,Windows,150.83.214.80
DEV-00171,CUST-0136,Mobile,iOS,209.131.84.217
DEV-00172,CUST-0137,Mobile,MacOS,24.106.61.241
DEV-00173,CUST-0138,Mobile,Windows,28.254.224.75
DEV-00174,CUST-0139,Mobile,Android,24.74.96.44
DEV-00175,CUST-0140,Tablet,MacOS,136.47.37.238
DEV-00176,CUST-0141,Desktop,MacOS,193.196.127.94
DEV-00177,CUST-0142,Desktop,Android,72.180.145.134
DEV-00178,CUST-0143,Tablet,MacOS,191.48.174.77
DEV-00179,CUST-0144,Desktop,MacOS,210.221.63.16
DEV-00180,CUST-0145,Tablet,Windows,217.1.4.86
DEV-00181,CUST-0146,Desktop,MacOS,18.161.235.252
DEV-00182,CUST-0147,Mobile,Android,12.84.241.150
DEV-00183,CUST-0148,Tablet,Android,46.73.215.106
DEV-00184,CUST-0148,Tablet,Android,217.72.214.102
DEV-00185,CUST-0149,Desktop,Android,149.80.186.77
DEV-00186,CUST-0150,Tablet,Windows,210.1.69.109
DEV-00187,CUST-0151,Desktop,iOS,144.5.31.97
DEV-00188,CUST-0151,Mobile,MacOS,183.28.53.229
DEV-00189,CUST-0152,Mobile,Windows,198.158.34.176
DEV-00190,CUST-0153,Desktop,MacOS,192.171.251.199
DEV-00191,CUST-0154,Tablet,iOS,97.33.143.10
DEV-00192,CUST-0155,Desktop,Windows,206.200.94.111
DEV-00193,CUST-0156,Mobile,Android,171.86.245.143
DEV-00194,CUST-0157,Mobile,Android,215.127.210.86
DEV-00195,CUST-0158,Desktop,iOS,222.13.15.161
DEV-00196,CUST-0159,Tablet,Windows,220.195.196.72
DEV-00197,CUST-0160,Mobile,Android,87.25.194.90
DEV-00198,CUST-0161,Desktop,MacOS,17.216.158.33
DEV-00199,CUST-0162,Mobile,Windows,208.253.156.187
DEV-00200,CUST-0163,Desktop,Android,46.176.246.236
DEV-00201,CUST-0164,Desktop,iOS,159.61.253.148
DEV-00202,CUST-0165,Desktop,iOS,218.0.13.72
DEV-00203,CUST-0166,Desktop,Android,219.8.151.94
DEV-00204,CUST-0167,Tablet,MacOS,106.127.63.162
DEV-00205,CUST-0168,Mobile,MacOS,68.141.228.184
DEV-00206,CUST-0169,Desktop,Android,77.32.111.43
DEV-00207,CUST-0170,Mobile,Android,208.156.213.50
DEV-00208,CUST-0171,Desktop,MacOS,168.146.115.185
DEV-00209,CUST-0172,Mobile,iOS,140.15.211.42
DEV-00210,CUST-0173,Mobile,Windows,222.145.196.137
DEV-00211,CUST-0173,Tablet,iOS,194.7.173.205
DEV-00212,CUST-0174,Desktop,Android,207.234.108.197
DEV-00213,CUST-0174,Tablet,MacOS,173.164.13.153
DEV-00214,CUST-0174,Desktop,MacOS,32.43.127.155
DEV-00215,CUST-0175,Tablet,MacOS,190.83.114.34
DEV-00216,CUST-0176,Desktop,MacOS,174.103.1.100
DEV-00217,CUST-0176,Tablet,iOS,206.251.65.58
DEV-00218,CUST-0177,Mobile,Android,211.63.240.4
DEV-00219,CUST-0178,Mobile,MacOS,222.5.134.103
DEV-00220,CUST-0179,Desktop,MacOS,84.214.31.38
DEV-00221,CUST-0180,Desktop,MacOS,167.208.138.51
DEV-00222,CUST-0181,Mobile,Android,194.63.112.254
DEV-00223,CUST-0182,Mobile,iOS,108.176.219.55
DEV-00224,CUST-0183,Tablet,Android,197.42.235.204
DEV-00225,CUST-0184,Mobile,iOS,211.73.126.130
DEV-00226,CUST-0185,Mobile,iOS,201.5.14.182
DEV-00227,CUST-0185,Desktop,Android,197.19.191.127
DEV-00228,CUST-0185,Tablet,MacOS,87.181.47.69
DEV-00229,CUST-0186,Desktop,iOS,153.166.43.235
DEV-00230,CUST-0187,Desktop,MacOS,194.54.52.113
DEV-00231,CUST-0188,Tablet,Android,176.41.91.124
DEV-00232,CUST-0189,Tablet,Windows,43.8.72.28
DEV-00233,CUST-0190,Tablet,Android,167.41.127.47
DEV-00234,CUST-0191,Mobile,MacOS,174.220.242.16
DEV-00235,CUST-0192,Mobile,MacOS,97.218.142.111
DEV-00236,CUST-0193,Tablet,Windows,185.232.171.168
DEV-00237,CUST-0194,Mobile,Android,177.57.56.133
DEV-00238,CUST-0195,Mobile,Windows,215.162.129.205
DEV-00239,CUST-0195,Mobile,Android,223.162.8.128
DEV-00240,CUST-0195,Mobile,iOS,190.101.138.143
DEV-00241,CUST-0196,Desktop,MacOS,150.245.135.249
DEV-00242,CUST-0197,Desktop,Windows,177.162.138.103
DEV-00243,CUST-0198,Mobile,Android,65.225.191.182
DEV-00244,CUST-0199,Tablet,Windows,64.120.122.26
DEV-00245,CUST-0199,Tablet,MacOS,161.146.25.91
DEV-00246,CUST-0200,Mobile,Windows,195.124.110.95
DEV-00247,CUST-0201,Tablet,MacOS,156.69.56.75
DEV-00248,CUST-0202,Tablet,Android,206.222.8.71
DEV-00249,CUST-0202,Tablet,Android,97.205.73.109
DEV-00250,CUST-0202,Desktop,MacOS,193.156.208.206
DEV-00251,CUST-0203,Mobile,Android,124.164.201.92
DEV-00252,CUST-0204,Tablet,Android,185.64.55.40
DEV-00253,CUST-0205,Tablet,iOS,198.243.149.186
DEV-00254,CUST-0206,Desktop,Android,6.15.90.171
DEV-00255,CUST-0207,Desktop,iOS,210.220.132.15
DEV-00256,CUST-0208,Desktop,iOS,189.54.79.122
DEV-00257,CUST-0209,Tablet,Windows,220.121.218.186
DEV-00258,CUST-0210,Mobile,iOS,129.10.220.108
DEV-00259,CUST-0211,Mobile,iOS,173.92.80.234
DEV-00260,CUST-0211,Mobile,MacOS,220.125.217.71
DEV-00261,CUST-0212,Tablet,iOS,109.22.19.247
DEV-00262,CUST-0212,Mobile,Android,86.236.226.88
DEV-00263,CUST-0213,Tablet,MacOS,104.207.231.182
DEV-00264,CUST-0214,Mobile,iOS,187.40.92.112
DEV-00265,CUST-0215,Tablet,Android,13.93.238.56
DEV-00266,CUST-0215,Desktop,Android,166.56.53.131
DEV-00267,CUST-0216,Mobile,Android,156.150.133.179
DEV-00268,CUST-0217,Mobile,iOS,2.113.56.181
DEV-00269,CUST-0218,Mobile,MacOS,186.16.135.165
DEV-00270,CUST-0219,Desktop,iOS,61.81.139.42
DEV-00271,CUST-0220,Desktop,Android,169.131.122.58
DEV-00272,CUST-0220,Desktop,Windows,26.129.133.26
DEV-00273,CUST-0220,Mobile,Android,164.7.3.92
DEV-00274,CUST-0220,Mobile,iOS,191.173.142.167
DEV-00275,CUST-0221,Tablet,iOS,192.252.144.51
DEV-00276,CUST-0222,Tablet,MacOS,162.232.253.25
DEV-00277,CUST-0223,Tablet,iOS,57.99.207.127
DEV-00278,CUST-0224,Desktop,MacOS,195.42.216.158
DEV-00279,CUST-0224,Mobile,MacOS,88.251.242.121
DEV-00280,CUST-0225,Tablet,Windows,214.34.244.25
DEV-00281,CUST-0225,Mobile,Android,221.32.33.251
DEV-00282,CUST-0226,Desktop,MacOS,67.249.218.57
DEV-00283,CUST-0226,Desktop,iOS,169.8.217.202
DEV-00284,CUST-0226,Mobile,MacOS,194.221.103.31
DEV-00285,CUST-0226,Mobile,iOS,49.58.31.109
DEV-00286,CUST-0227,Mobile,MacOS,148.23.15.70
DEV-00287,CUST-0227,Mobile,iOS,56.122.40.74
DEV-00288,CUST-0228,Mobile,Windows,204.45.108.173
DEV-00289,CUST-0229,Desktop,MacOS,182.13.248.118
DEV-00290,CUST-0229,Mobile,MacOS,150.103.88.90
DEV-00291,CUST-0230,Desktop,Android,91.124.71.218
DEV-00292,CUST-0231,Desktop,Windows,138.10.54.68
DEV-00293,CUST-0232,Mobile,Windows,21.180.185.138
DEV-00294,CUST-0233,Desktop,Windows,140.39.221.121
DEV-00295,CUST-0234,Tablet,Windows,144.168.176.25
DEV-00296,CUST-0235,Desktop,Android,181.43.22.93
DEV-00297,CUST-0236,Tablet,iOS,140.70.65.88
DEV-00298,CUST-0237,Mobile,Android,220.82.248.66
DEV-00299,CUST-0237,Tablet,Android,174.247.216.12
DEV-00300,CUST-0238,Mobile,MacOS,218.141.53.35
DEV-00301,CUST-0238,Desktop,Android,143.163.102.16
DEV-00302,CUST-0239,Mobile,Android,6.221.147.242
DEV-00303,CUST-0240,Mobile,Windows,60.158.222.131
DEV-00304,CUST-0241,Desktop,iOS,153.241.46.229
DEV-00305,CUST-0242,Mobile,iOS,199.71.244.238
DEV-00306,CUST-0243,Mobile,iOS,185.54.164.249
DEV-00307,CUST-0243,Tablet,Windows,217.97.90.170
DEV-00308,CUST-0244,Tablet,Android,205.179.112.200
DEV-00309,CUST-0244,Desktop,Windows,203.10.191.133
DEV-00310,CUST-0244,Tablet,iOS,216.168.234.170
DEV-00311,CUST-0245,Tablet,MacOS,136.141.219.104
DEV-00312,CUST-0246,Desktop,iOS,187.101.81.47
DEV-00313,CUST-0247,Mobile,Windows,81.135.151.46
DEV-00314,CUST-0248,Tablet,Windows,144.126.80.27
DEV-00315,CUST-0249,Mobile,Android,205.125.130.141
DEV-00316,CUST-0250,Mobile,iOS,196.132.179.115
DEV-00317,CUST-0251,Desktop,Android,25.50.164.241
DEV-00318,CUST-0252,Tablet,Android,184.73.104.167
DEV-00319,CUST-0253,Desktop,Windows,210.1.171.190
DEV-00320,CUST-0254,Desktop,iOS,136.16.69.27
DEV-00321,CUST-0255,Desktop,Windows,163.70.70.105
DEV-00322,CUST-0256,Tablet,iOS,193.4.56.27
DEV-00323,CUST-0257,Desktop,Windows,195.210.145.179
DEV-00324,CUST-0258,Tablet,Windows,24.206.23.250
DEV-00325,CUST-0259,Mobile,iOS,192.132.48.41
DEV-00326,CUST-0259,Desktop,Windows,148.176.2.87
DEV-00327,CUST-0259,Tablet,Windows,174.111.15.48
DEV-00328,CUST-0260,Desktop,MacOS,196.114.142.79
DEV-00329,CUST-0261,Desktop,iOS,112.216.56.18
DEV-00330,CUST-0262,Tablet,Android,73.139.42.119
DEV-00331,CUST-0262,Desktop,MacOS,43.43.158.103
DEV-00332,CUST-0262,Mobile,Android,131.171.146.253
DEV-00333,CUST-0263,Tablet,Windows,220.173.132.252
DEV-00334,CUST-0264,Tablet,Windows,222.238.228.61
DEV-00335,CUST-0265,Tablet,Windows,103.70.246.111
DEV-00336,CUST-0266,Mobile,Windows,207.184.110.244
DEV-00337,CUST-0267,Desktop,Android,150.176.150.164
DEV-00338,CUST-0268,Mobile,iOS,173.213.85.166
DEV-00339,CUST-0269,Mobile,iOS,170.99.25.162
DEV-00340,CUST-0270,Desktop,Windows,214.6.6.217
DEV-00341,CUST-0271,Desktop,Windows,53.59.49.241
DEV-00342,CUST-0272,Tablet,Windows,187.91.128.185
DEV-00343,CUST-0273,Desktop,Windows,195.205.207.154
DEV-00344,CUST-0274,Tablet,MacOS,32.123.12.218
DEV-00345,CUST-0275,Desktop,MacOS,211.244.204.165
DEV-00346,CUST-0276,Desktop,Windows,160.85.28.224
DEV-00347,CUST-0277,Desktop,Windows,213.99.242.220
DEV-00348,CUST-0277,Mobile,MacOS,212.184.46.210
DEV-00349,CUST-0278,Desktop,iOS,192.137.107.99
DEV-00350,CUST-0278,Desktop,Windows,137.214.61.165
DEV-00351,CUST-0278,Desktop,MacOS,223.105.93.29
DEV-00352,CUST-0279,Mobile,iOS,197.51.218.253
DEV-00353,CUST-0280,Tablet,iOS,210.78.109.8
DEV-00354,CUST-0280,Tablet,iOS,135.38.123.135
DEV-00355,CUST-0281,Desktop,Android,28.213.144.136
DEV-00356,CUST-0282,Tablet,MacOS,37.236.252.174
DEV-00357,CUST-0283,Mobile,MacOS,215.234.97.75
DEV-00358,CUST-0284,Desktop,MacOS,36.247.60.213
DEV-00359,CUST-0284,Mobile,iOS,206.55.45.232
DEV-00360,CUST-0285,Mobile,iOS,139.164.22.216
DEV-00361,CUST-0286,Mobile,Android,208.135.48.57
DEV-00362,CUST-0287,Mobile,iOS,88.248.153.187
DEV-00363,CUST-0287,Mobile,Android,196.216.101.27
DEV-00364,CUST-0287,Tablet,Android,95.250.161.63
DEV-00365,CUST-0288,Tablet,Windows,117.44.9.255
DEV-00366,CUST-0289,Mobile,MacOS,66.20.240.125
DEV-00367,CUST-0290,Tablet,Android,201.181.180.234
DEV-00368,CUST-0291,Mobile,MacOS,215.85.223.106
DEV-00369,CUST-0292,Desktop,MacOS,90.28.180.35
DEV-00370,CUST-0293,Desktop,MacOS,43.201.10.185
DEV-00371,CUST-0294,Tablet,Windows,70.246.66.3
DEV-00372,CUST-0295,Desktop,Windows,59.148.74.26
DEV-00373,CUST-0296,Desktop,Android,133.145.222.129
DEV-00374,CUST-0297,Mobile,Windows,222.179.111.135
DEV-00375,CUST-0298,Desktop,Android,174.253.100.157
DEV-00376,CUST-0299,Tablet,iOS,193.84.106.78
DEV-00377,CUST-0300,Tablet,Windows,193.165.165.137
DEV-00378,CUST-0300,Tablet,MacOS,128.220.4.93
DEV-00379,CUST-0301,Tablet,Android,38.160.24.234
DEV-00380,CUST-0301,Tablet,iOS,199.30.121.96
DEV-00381,CUST-0302,Tablet,MacOS,153.136.49.68
DEV-00382,CUST-0303,Desktop,iOS,214.8.48.221
DEV-00383,CUST-0303,Mobile,Android,213.195.34.147
DEV-00384,CUST-0303,Desktop,Windows,119.156.129.128
DEV-00385,CUST-0303,Tablet,MacOS,118.243.233.253
DEV-00386,CUST-0304,Mobile,iOS,65.61.117.47
DEV-00387,CUST-0305,Mobile,iOS,164.204.96.130
DEV-00388,CUST-0306,Tablet,Android,202.111.161.148
DEV-00389,CUST-0307,Tablet,Android,20.103.105.203
DEV-00390,CUST-0307,Tablet,MacOS,150.98.246.187
DEV-00391,CUST-0308,Desktop,Android,21.224.37.171
DEV-00392,CUST-0309,Desktop,Android,144.204.150.71
DEV-00393,CUST-0310,Desktop,MacOS,143.185.255.252
DEV-00394,CUST-0310,Desktop,Windows,136.24.94.238
DEV-00395,CUST-0311,Desktop,iOS,134.91.171.229
DEV-00396,CUST-0312,Tablet,iOS,149.111.90.186
DEV-00397,CUST-0313,Desktop,MacOS,209.4.60.63
DEV-00398,CUST-0314,Tablet,Windows,48.215.50.39
DEV-00399,CUST-0315,Tablet,MacOS,113.181.15.250
DEV-00400,CUST-0316,Mobile,MacOS,195.153.27.24
DEV-00401,CUST-0317,Desktop,Android,6.123.205.93
DEV-00402,CUST-0318,Tablet,iOS,165.216.43.0
DEV-00403,CUST-0319,Mobile,iOS,198.248.248.47
DEV-00404,CUST-0320,Desktop,Windows,215.251.169.209
DEV-00405,CUST-0321,Mobile,MacOS,149.32.172.161
DEV-00406,CUST-0321,Desktop,Android,19.75.33.119
DEV-00407,CUST-0321,Desktop,iOS,148.19.195.86
DEV-00408,CUST-0322,Tablet,iOS,173.149.64.193
DEV-00409,CUST-0323,Mobile,iOS,186.156.68.100
DEV-00410,CUST-0324,Mobile,Android,21.220.80.73
DEV-00411,CUST-0325,Desktop,Windows,183.229.116.73
DEV-00412,CUST-0326,Tablet,Android,170.84.94.156
DEV-00413,CUST-0327,Mobile,Android,169.255.99.78
DEV-00414,CUST-0327,Tablet,iOS,200.20.114.74
DEV-00415,CUST-0328,Desktop,iOS,189.48.97.220
DEV-00416,CUST-0329,Tablet,Android,63.86.81.187
DEV-00417,CUST-0330,Desktop,Windows,112.231.187.220
DEV-00418,CUST-0331,Mobile,Android,101.243.195.242
DEV-00419,CUST-0332,Tablet,Windows,215.183.39.95
DEV-00420,CUST-0333,Mobile,Windows,65.43.13.134
DEV-00421,CUST-0334,Tablet,iOS,206.100.214.119
DEV-00422,CUST-0335,Tablet,iOS,199.71.245.72
DEV-00423,CUST-0336,Desktop,iOS,46.214.66.66
DEV-00424,CUST-0336,Tablet,Windows,139.224.152.0
DEV-00425,CUST-0337,Tablet,Windows,142.0.224.158
DEV-00426,CUST-0338,Tablet,Windows,191.64.7.40
DEV-00427,CUST-0339,Desktop,Windows,112.141.106.196
DEV-00428,CUST-0340,Desktop,Windows,218.26.208.33
DEV-00429,CUST-0341,Tablet,Android,182.163.3.93
DEV-00430,CUST-0342,Tablet,iOS,81.168.11.2
DEV-00431,CUST-0343,Mobile,iOS,176.225.150.186
DEV-00432,CUST-0344,Desktop,iOS,163.125.87.164
DEV-00433,CUST-0345,Desktop,Windows,160.10.7.214
DEV-00434,CUST-0346,Mobile,Android,187.134.35.63
DEV-00435,CUST-0346,Mobile,MacOS,194.169.135.24
DEV-00436,CUST-0347,Mobile,Android,11.30.243.173
DEV-00437,CUST-0348,Mobile,MacOS,131.58.192.197
DEV-00438,CUST-0349,Mobile,Windows,86.180.115.195
DEV-00439,CUST-0350,Tablet,iOS,13.125.17.151
DEV-00440,CUST-0351,Desktop,MacOS,212.1.131.40
DEV-00441,CUST-0351,Mobile,Windows,4.82.164.247
DEV-00442,CUST-0352,Mobile,MacOS,1.111.179.187
DEV-00443,CUST-0353,Desktop,iOS,160.175.48.126
DEV-00444,CUST-0353,Tablet,Windows,208.25.109.144
DEV-00445,CUST-0354,Desktop,Android,133.16.142.187
DEV-00446,CUST-0355,Tablet,Windows,135.3.177.46
DEV-00447,CUST-0356,Desktop,iOS,214.85.68.234
DEV-00448,CUST-0356,Tablet,Windows,178.165.35.200
DEV-00449,CUST-0357,Desktop,Android,130.66.99.232
DEV-00450,CUST-0358,Mobile,MacOS,84.167.7.242
