kyc_id,customer_id,doc_type,doc_status,expiry_date,pep_status,net_worth
KYC-0029,CUST-0029,SSN,VERIFIED,2027-01-22,NO,264618
KYC-0030,CUST-0030,SSN,VERIFIED,2028-08-21,NO,40240
KYC-0031,CUST-0031,Driving License,VERIFIED,2027-03-22,NO,589816
KYC-0032,CUST-0032,Passport,VERIFIED,2027-07-15,NO,328894
KYC-0033,CUST-0033,SSN,VERIFIED,2027-11-24,NO,141911
KYC-0034,CUST-0034,Passport,VERIFIED,2028-12-08,NO,14621851
KYC-0035,CUST-0035,SSN,VERIFIED,2027-03-21,NO,5536604
KYC-0036,CUST-0036,SSN,VERIFIED,2027-12-18,NO,145760
KYC-0037,CUST-0037,Driving License,VERIFIED,2029-03-09,NO,32513
KYC-0038,CUST-0038,Driving License,VERIFIED,2028-06-14,NO,27244
KYC-0039,CUST-0039,National ID,VERIFIED,2028-03-01,NO,57641
KYC-0040,CUST-0040,Passport,VERIFIED,2029-01-26,NO,63744
KYC-0041,CUST-0041,National ID,VERIFIED,2027-06-26,NO,19512
KYC-0042,CUST-0042,SSN,VERIFIED,2029-02-19,NO,129370
KYC-0043,CUST-0043,Passport,VERIFIED,2027-02-01,NO,432746
KYC-0044,CUST-0044,Passport,VERIFIED,2029-01-02,NO,50337
KYC-0045,CUST-0045,SSN,VERIFIED,2027-06-04,NO,16168
KYC-0046,CUST-0046,Driving License,PENDING,2028-11-29,NO,51124
KYC-0047,CUST-0047,SSN,VERIFIED,2029-03-29,NO,193836
KYC-0048,CUST-0048,Driving License,VERIFIED,2028-11-27,NO,891970
KYC-0049,CUST-0049,Passport,VERIFIED,2027-08-19,NO,38539
KYC-0050,CUST-0050,SSN,VERIFIED,2026-10-21,NO,132739
KYC-0051,CUST-0051,SSN,VERIFIED,2029-02-04,NO,592619
KYC-0052,CUST-0052,SSN,VERIFIED,2028-07-03,NO,72193
KYC-0053,CUST-0053,Driving License,VERIFIED,2027-01-04,NO,39828
KYC-0054,CUST-0054,SSN,VERIFIED,2029-01-23,NO,102631
KYC-0055,CUST-0055,SSN,VERIFIED,2028-08-07,NO,4784013
KYC-0056,CUST-0056,Passport,VERIFIED,2029-01-20,NO,37608
KYC-0057,CUST-0057,SSN,VERIFIED,2026-09-14,NO,2408546
KYC-0058,CUST-0058,National ID,VERIFIED,2028-10-25,NO,62937
KYC-0059,CUST-0059,Passport,VERIFIED,2028-02-20,NO,111206
KYC-0060,CUST-0060,National ID,VERIFIED,2028-05-07,NO,770608
KYC-0061,CUST-0061,Passport,VERIFIED,2028-04-09,NO,135865
KYC-0062,CUST-0062,Driving License,VERIFIED,2027-03-13,NO,9572709
KYC-0063,CUST-0063,Passport,VERIFIED,2027-01-04,NO,34001
KYC-0064,CUST-0064,Passport,VERIFIED,2028-02-08,NO,142251
KYC-0065,CUST-0065,National ID,VERIFIED,2026-12-01,NO,149443
KYC-0066,CUST-0066,Driving License,VERIFIED,2027-12-25,NO,696371
KYC-0067,CUST-0067,Passport,VERIFIED,2026-09-09,NO,882781
KYC-0068,CUST-0068,National ID,VERIFIED,2028-04-29,NO,135373
KYC-0069,CUST-0069,Driving License,EXPIRED,2025-11-28,NO,128398
KYC-0070,CUST-0070,Passport,PENDING,2029-04-13,NO,122104
KYC-0071,CUST-0071,National ID,VERIFIED,2027-05-28,NO,529292
KYC-0072,CUST-0072,SSN,VERIFIED,2028-08-12,NO,111590
KYC-0073,CUST-0073,SSN,VERIFIED,2027-10-02,NO,970574
KYC-0074,CUST-0074,SSN,VERIFIED,2029-03-26,NO,62057
KYC-0075,CUST-0075,Passport,VERIFIED,2026-11-22,NO,97987
KYC-0076,CUST-0076,National ID,VERIFIED,2028-01-20,NO,111264
KYC-0077,CUST-0077,Driving License,VERIFIED,2029-01-14,NO,30402
KYC-0078,CUST-0078,SSN,VERIFIED,2028-11-24,NO,46098
KYC-0079,CUST-0079,Passport,VERIFIED,2026-10-19,NO,123713
KYC-0080,CUST-0080,SSN,EXPIRED,2026-02-19,NO,80259
KYC-0081,CUST-0081,Driving License,VERIFIED,2027-02-24,NO,560017
KYC-0082,CUST-0082,Driving License,VERIFIED,2029-03-04,NO,47906
KYC-0083,CUST-0083,Driving License,VERIFIED,2028-06-21,NO,11479
KYC-0084,CUST-0084,National ID,EXPIRED,2026-01-03,NO,48929
KYC-0085,CUST-0085,National ID,VERIFIED,2027-05-26,NO,3070841
KYC-0086,CUST-0086,SSN,VERIFIED,2027-07-28,NO,789752
KYC-0087,CUST-0087,SSN,VERIFIED,2028-12-17,NO,135435
KYC-0088,CUST-0088,Driving License,VERIFIED,2027-07-20,NO,35385
KYC-0089,CUST-0089,SSN,VERIFIED,2026-09-10,NO,9367101
KYC-0090,CUST-0090,National ID,VERIFIED,2027-01-21,NO,142381
KYC-0091,CUST-0091,Driving License,VERIFIED,2027-10-12,NO,598526
KYC-0092,CUST-0092,National ID,VERIFIED,2026-10-17,NO,650097
KYC-0093,CUST-0093,SSN,VERIFIED,2027-05-19,NO,147096
KYC-0094,CUST-0094,Driving License,EXPIRED,2025-11-05,NO,58529
KYC-0095,CUST-0095,SSN,VERIFIED,2029-01-25,NO,985106
KYC-0096,CUST-0096,Driving License,VERIFIED,2028-01-15,NO,22468
KYC-0097,CUST-0097,SSN,VERIFIED,2028-10-05,NO,38778
KYC-0098,CUST-0098,Passport,VERIFIED,2028-02-20,NO,96555
KYC-0099,CUST-0099,SSN,VERIFIED,2028-04-27,NO,460223
KYC-0100,CUST-0100,Passport,VERIFIED,2027-04-20,NO,129376
KYC-0101,CUST-0101,National ID,VERIFIED,2027-07-22,NO,44369
KYC-0102,CUST-0102,SSN,VERIFIED,2029-03-09,NO,422366
KYC-0103,CUST-0103,Passport,VERIFIED,2029-03-18,NO,10332
KYC-0104,CUST-0104,Passport,VERIFIED,2028-04-01,NO,149971
KYC-0105,CUST-0105,SSN,VERIFIED,2029-01-20,YES,114724
KYC-0106,CUST-0106,SSN,VERIFIED,2027-04-03,NO,15167
KYC-0107,CUST-0107,Passport,PENDING,2027-06-18,NO,113579
KYC-0108,CUST-0108,National ID,VERIFIED,2028-01-14,NO,197855
KYC-0109,CUST-0109,National ID,VERIFIED,2029-02-21,NO,390431
KYC-0110,CUST-0110,Passport,VERIFIED,2029-01-28,NO,12056
KYC-0111,CUST-0111,National ID,VERIFIED,2028-12-07,NO,77334
KYC-0112,CUST-0112,Driving License,VERIFIED,2028-07-31,NO,36439
KYC-0113,CUST-0113,SSN,VERIFIED,2027-07-15,NO,132186
KYC-0114,CUST-0114,National ID,VERIFIED,2028-05-23,NO,56877
KYC-0115,CUST-0115,Passport,VERIFIED,2027-01-15,NO,109358
KYC-0116,CUST-0116,National ID,VERIFIED,2028-07-13,NO,87902
KYC-0117,CUST-0117,National ID,VERIFIED,2029-02-04,NO,120868
KYC-0118,CUST-0118,SSN,VERIFIED,2027-10-10,NO,884851
KYC-0119,CUST-0119,SSN,VERIFIED,2026-12-25,NO,8788939
KYC-0120,CUST-0120,National ID,VERIFIED,2027-01-07,NO,302503
KYC-0121,CUST-0121,SSN,VERIFIED,2027-09-30,NO,31993
KYC-0122,CUST-0122,SSN,VERIFIED,2028-08-12,NO,146488
KYC-0123,CUST-0123,National ID,VERIFIED,2026-12-28,NO,75483
KYC-0124,CUST-0124,Passport,VERIFIED,2029-01-22,NO,939492
KYC-0125,CUST-0125,National ID,VERIFIED,2029-04-17,NO,651015
KYC-0126,CUST-0126,Driving License,VERIFIED,2028-02-22,NO,39562
KYC-0127,CUST-0127,National ID,VERIFIED,2028-03-30,NO,51689
KYC-0128,CUST-0128,Driving License,VERIFIED,2027-03-05,NO,18352
KYC-0129,CUST-0129,National ID,VERIFIED,2028-05-06,NO,101588
KYC-0130,CUST-0130,National ID,VERIFIED,2028-11-11,NO,654556
KYC-0131,CUST-0131,SSN,VERIFIED,2026-09-29,NO,210538
KYC-0132,CUST-0132,Passport,VERIFIED,2029-03-14,NO,28824
KYC-0133,CUST-0133,National ID,VERIFIED,2027-04-15,NO,134885
KYC-0134,CUST-0134,National ID,VERIFIED,2027-09-16,NO,693262
KYC-0135,CUST-0135,SSN,VERIFIED,2028-06-24,NO,39623
KYC-0136,CUST-0136,National ID,VERIFIED,2027-07-11,NO,87347
KYC-0137,CUST-0137,SSN,VERIFIED,2028-07-20,NO,32132
KYC-0138,CUST-0138,Driving License,VERIFIED,2028-10-21,YES,806659
KYC-0139,CUST-0139,Driving License,VERIFIED,2028-03-28,NO,919305
KYC-0140,CUST-0140,SSN,VERIFIED,2028-04-28,NO,132147
KYC-0141,CUST-0141,Passport,VERIFIED,2028-09-14,NO,118674
KYC-0142,CUST-0142,National ID,VERIFIED,2026-11-02,NO,85463
KYC-0143,CUST-0143,National ID,VERIFIED,2028-10-31,NO,108708
KYC-0144,CUST-0144,National ID,VERIFIED,2027-12-24,NO,12041
KYC-0145,CUST-0145,National ID,VERIFIED,2028-11-18,NO,463344
KYC-0146,CUST-0146,Passport,VERIFIED,2029-01-03,NO,122091
KYC-0147,CUST-0147,SSN,VERIFIED,2026-10-23,NO,78204
KYC-0148,CUST-0148,Driving License,VERIFIED,2028-06-17,NO,694543
KYC-0149,CUST-0149,Driving License,VERIFIED,2026-12-10,NO,71846
KYC-0150,CUST-0150,National ID,VERIFIED,2029-01-04,NO,10429
KYC-0151,CUST-0151,Driving License,EXPIRED,2025-09-25,NO,47788
KYC-0152,CUST-0152,National ID,VERIFIED,2027-06-11,NO,225566
KYC-0153,CUST-0153,Passport,VERIFIED,2029-02-08,NO,125649
KYC-0154,CUST-0154,National ID,VERIFIED,2028-03-04,NO,313979
KYC-0155,CUST-0155,SSN,VERIFIED,2028-09-08,NO,4505609
KYC-0156,CUST-0156,National ID,VERIFIED,2029-03-02,NO,47028
KYC-0157,CUST-0157,Passport,VERIFIED,2027-03-13,NO,932783
KYC-0158,CUST-0158,SSN,VERIFIED,2026-11-06,NO,20098
KYC-0159,CUST-0159,Driving License,VERIFIED,2026-12-16,NO,956263
KYC-0160,CUST-0160,Driving License,VERIFIED,2027-03-18,NO,452318
KYC-0161,CUST-0161,National ID,VERIFIED,2028-03-06,NO,166551
KYC-0162,CUST-0162,SSN,VERIFIED,2028-03-17,NO,349431
KYC-0163,CUST-0163,National ID,VERIFIED,2026-12-11,NO,81182
KYC-0164,CUST-0164,SSN,VERIFIED,2026-09-06,NO,90715
KYC-0165,CUST-0165,National ID,VERIFIED,2027-10-29,NO,147270
KYC-0166,CUST-0166,Passport,VERIFIED,2026-12-26,NO,12073713
KYC-0167,CUST-0167,National ID,VERIFIED,2027-09-27,NO,45188
KYC-0168,CUST-0168,National ID,VERIFIED,2026-10-17,NO,34696
KYC-0169,CUST-0169,Driving License,VERIFIED,2026-10-30,NO,873257
KYC-0170,CUST-0170,SSN,VERIFIED,2028-07-19,NO,87050
KYC-0171,CUST-0171,Passport,VERIFIED,2027-07-24,NO,892000
KYC-0172,CUST-0172,Passport,VERIFIED,2027-03-07,NO,96438
KYC-0173,CUST-0173,Driving License,VERIFIED,2027-01-27,NO,747352
KYC-0174,CUST-0174,Driving License,VERIFIED,2028-07-04,NO,147714
KYC-0175,CUST-0175,SSN,VERIFIED,2029-03-28,NO,67987
KYC-0176,CUST-0176,Passport,EXPIRED,2025-08-03,NO,82674
KYC-0177,CUST-0177,SSN,VERIFIED,2026-11-16,NO,302635
KYC-0178,CUST-0178,Passport,VERIFIED,2028-11-28,NO,108848
KYC-0179,CUST-0179,Passport,VERIFIED,2028-10-03,NO,132681
KYC-0180,CUST-0180,National ID,VERIFIED,2027-01-29,YES,22563
KYC-0181,CUST-0181,Passport,VERIFIED,2027-06-05,NO,10113
KYC-0182,CUST-0182,National ID,VERIFIED,2027-10-04,NO,28493
KYC-0183,CUST-0183,Driving License,VERIFIED,2028-04-02,NO,351469
KYC-0184,CUST-0184,National ID,VERIFIED,2028-09-28,NO,13444
KYC-0185,CUST-0185,SSN,VERIFIED,2027-03-05,YES,113096
KYC-0186,CUST-0186,Driving License,VERIFIED,2028-05-12,NO,20194
KYC-0187,CUST-0187,Passport,VERIFIED,2027-01-30,NO,12468115
KYC-0188,CUST-0188,SSN,VERIFIED,2027-03-20,NO,990094
KYC-0189,CUST-0189,Driving License,VERIFIED,2028-11-12,NO,63558
KYC-0190,CUST-0190,Driving License,VERIFIED,2028-06-30,NO,713079
KYC-0191,CUST-0191,Passport,VERIFIED,2029-03-21,NO,70732
KYC-0192,CUST-0192,National ID,VERIFIED,2028-03-23,NO,89742
KYC-0193,CUST-0193,Driving License,VERIFIED,2027-07-16,NO,57475
KYC-0194,CUST-0194,Passport,VERIFIED,2028-11-03,NO,12810
KYC-0195,CUST-0195,Passport,FAILED,2025-07-24,YES,33552
KYC-0196,CUST-0196,SSN,VERIFIED,2028-02-04,NO,48483
KYC-0197,CUST-0197,Passport,VERIFIED,2027-01-12,NO,284358
KYC-0198,CUST-0198,National ID,VERIFIED,2028-12-27,NO,241011
KYC-0199,CUST-0199,Driving License,EXPIRED,2025-08-17,YES,19650
KYC-0200,CUST-0200,SSN,VERIFIED,2028-08-19,NO,59799
KYC-0201,CUST-0201,National ID,VERIFIED,2028-04-17,NO,213572
KYC-0202,CUST-0202,Driving License,EXPIRED,2025-07-06,YES,807361
KYC-0203,CUST-0203,Passport,VERIFIED,2026-10-20,NO,13662386
KYC-0204,CUST-0204,Passport,VERIFIED,2027-10-21,NO,109084
KYC-0205,CUST-0205,Passport,VERIFIED,2028-05-07,NO,71529
KYC-0206,CUST-0206,Driving License,VERIFIED,2028-09-03,NO,35048
KYC-0207,CUST-0207,SSN,VERIFIED,2027-03-30,NO,59194
KYC-0208,CUST-0208,National ID,VERIFIED,2028-07-21,NO,44599
KYC-0209,CUST-0209,SSN,VERIFIED,2028-12-27,NO,96252
KYC-0210,CUST-0210,National ID,VERIFIED,2028-09-28,YES,7498989
KYC-0211,CUST-0211,SSN,VERIFIED,2028-01-23,NO,88112
KYC-0212,CUST-0212,SSN,VERIFIED,2028-08-11,NO,145498
KYC-0213,CUST-0213,National ID,VERIFIED,2028-04-23,NO,66904
KYC-0214,CUST-0214,SSN,VERIFIED,2027-09-10,NO,139122
KYC-0215,CUST-0215,National ID,VERIFIED,2027-07-31,NO,148966
KYC-0216,CUST-0216,National ID,VERIFIED,2028-01-02,NO,31533
KYC-0217,CUST-0217,National ID,VERIFIED,2026-09-23,NO,7258410
KYC-0218,CUST-0218,National ID,VERIFIED,2028-09-16,NO,68654
KYC-0219,CUST-0219,Passport,VERIFIED,2027-05-12,NO,219023
KYC-0220,CUST-0220,Passport,EXPIRED,2025-06-04,NO,65818
KYC-0221,CUST-0221,Passport,VERIFIED,2028-06-24,NO,41698
KYC-0222,CUST-0222,Driving License,VERIFIED,2028-03-23,NO,110321
KYC-0223,CUST-0223,Passport,VERIFIED,2028-08-12,NO,944010
KYC-0224,CUST-0224,Driving License,VERIFIED,2029-03-17,NO,421771
KYC-0225,CUST-0225,SSN,VERIFIED,2028-06-09,NO,589885
KYC-0226,CUST-0226,Driving License,EXPIRED,2025-04-04,NO,62858
KYC-0227,CUST-0227,Passport,VERIFIED,2026-12-11,NO,55747
KYC-0228,CUST-0228,SSN,VERIFIED,2028-08-14,NO,121511
KYC-0229,CUST-0229,National ID,VERIFIED,2027-02-24,NO,114644
KYC-0230,CUST-0230,National ID,VERIFIED,2027-10-24,NO,60158
KYC-0231,CUST-0231,National ID,VERIFIED,2027-01-23,NO,49232
KYC-0232,CUST-0232,Driving License,VERIFIED,2026-12-14,NO,627133
KYC-0233,CUST-0233,SSN,VERIFIED,2027-10-20,NO,70394
KYC-0234,CUST-0234,SSN,VERIFIED,2027-12-06,NO,916658
KYC-0235,CUST-0235,Passport,VERIFIED,2028-03-14,NO,126422
KYC-0236,CUST-0236,Driving License,VERIFIED,2028-11-05,NO,65378
KYC-0237,CUST-0237,National ID,VERIFIED,2027-11-28,NO,143342
KYC-0238,CUST-0238,SSN,VERIFIED,2028-01-16,YES,979660
KYC-0239,CUST-0239,Driving License,VERIFIED,2029-04-04,NO,529797
KYC-0240,CUST-0240,Passport,VERIFIED,2029-04-18,NO,78589
KYC-0241,CUST-0241,National ID,VERIFIED,2028-04-21,NO,48217
KYC-0242,CUST-0242,Passport,VERIFIED,2028-10-15,NO,111582
KYC-0243,CUST-0243,National ID,VERIFIED,2027-04-08,NO,18821
KYC-0244,CUST-0244,National ID,VERIFIED,2026-09-26,YES,639529
KYC-0245,CUST-0245,Passport,VERIFIED,2028-06-01,NO,55732
KYC-0246,CUST-0246,Driving License,VERIFIED,2028-08-15,NO,740946
KYC-0247,CUST-0247,National ID,VERIFIED,2029-02-25,NO,103779
KYC-0248,CUST-0248,Passport,VERIFIED,2027-03-02,NO,356291
KYC-0249,CUST-0249,Driving License,VERIFIED,2027-08-08,NO,170850
KYC-0250,CUST-0250,Driving License,VERIFIED,2028-04-05,NO,57576
KYC-0251,CUST-0251,Driving License,VERIFIED,2026-11-13,NO,123405
KYC-0252,CUST-0252,Passport,VERIFIED,2028-10-11,NO,128659
KYC-0253,CUST-0253,Driving License,VERIFIED,2027-05-20,NO,146361
KYC-0254,CUST-0254,National ID,VERIFIED,2026-09-26,NO,30543
KYC-0255,CUST-0255,Driving License,VERIFIED,2029-03-29,NO,92672
KYC-0256,CUST-0256,Driving License,VERIFIED,2026-09-18,NO,93988
KYC-0257,CUST-0257,SSN,VERIFIED,2028-06-20,NO,57094
KYC-0258,CUST-0258,SSN,VERIFIED,2027-07-27,NO,410115
KYC-0259,CUST-0259,National ID,PENDING,2026-10-11,NO,93904
KYC-0260,CUST-0260,SSN,VERIFIED,2027-10-22,NO,47604
KYC-0261,CUST-0261,Passport,VERIFIED,2029-04-09,NO,93579
KYC-0262,CUST-0262,National ID,FAILED,2025-11-07,NO,180960
KYC-0263,CUST-0263,Passport,VERIFIED,2027-01-16,NO,54392
KYC-0264,CUST-0264,Driving License,VERIFIED,2027-07-10,NO,12260
KYC-0265,CUST-0265,National ID,VERIFIED,2026-09-26,NO,51783
KYC-0266,CUST-0266,National ID,VERIFIED,2027-03-06,NO,57680
KYC-0267,CUST-0267,Passport,VERIFIED,2029-04-19,NO,142636
KYC-0268,CUST-0268,National ID,VERIFIED,2026-12-29,NO,13658257
KYC-0269,CUST-0269,Driving License,VERIFIED,2029-02-15,NO,59148
KYC-0270,CUST-0270,Driving License,VERIFIED,2027-08-22,NO,149498
KYC-0271,CUST-0271,National ID,VERIFIED,2027-10-17,NO,811207
KYC-0272,CUST-0272,National ID,VERIFIED,2027-11-07,NO,136088
KYC-0273,CUST-0273,Passport,VERIFIED,2027-05-05,NO,906958
KYC-0274,CUST-0274,National ID,VERIFIED,2027-08-20,NO,83680
KYC-0275,CUST-0275,Passport,VERIFIED,2027-05-31,NO,58583
KYC-0276,CUST-0276,National ID,VERIFIED,2028-11-28,NO,692269
KYC-0277,CUST-0277,Passport,VERIFIED,2029-02-16,NO,35914
KYC-0278,CUST-0278,National ID,EXPIRED,2026-05-18,YES,143381
KYC-0279,CUST-0279,National ID,VERIFIED,2026-11-14,NO,908910
KYC-0280,CUST-0280,National ID,VERIFIED,2028-02-04,NO,154853
KYC-0281,CUST-0281,Passport,VERIFIED,2026-10-22,NO,74795
KYC-0282,CUST-0282,Driving License,VERIFIED,2029-03-03,NO,114699
KYC-0283,CUST-0283,SSN,VERIFIED,2029-04-11,NO,19063
KYC-0284,CUST-0284,Passport,VERIFIED,2026-11-18,NO,75881
KYC-0285,CUST-0285,Driving License,VERIFIED,2027-03-13,YES,102712
KYC-0286,CUST-0286,Driving License,VERIFIED,2026-11-08,NO,95874
KYC-0287,CUST-0287,National ID,EXPIRED,2025-10-26,YES,50320
KYC-0288,CUST-0288,SSN,VERIFIED,2027-11-13,NO,147027
KYC-0289,CUST-0289,SSN,VERIFIED,2027-08-25,NO,128585
KYC-0290,CUST-0290,Passport,VERIFIED,2028-03-26,NO,7288181
KYC-0291,CUST-0291,SSN,VERIFIED,2029-03-10,NO,25080
KYC-0292,CUST-0292,Passport,VERIFIED,2028-07-10,NO,137882
KYC-0293,CUST-0293,Driving License,VERIFIED,2028-12-07,NO,98795
KYC-0294,CUST-0294,National ID,VERIFIED,2027-01-18,NO,106224
KYC-0295,CUST-0295,Driving License,VERIFIED,2028-01-13,NO,643371
KYC-0296,CUST-0296,National ID,VERIFIED,2028-02-04,NO,118584
KYC-0297,CUST-0297,Passport,VERIFIED,2027-03-30,NO,141520
KYC-0298,CUST-0298,SSN,VERIFIED,2026-12-03,NO,823077
KYC-0299,CUST-0299,Driving License,VERIFIED,2029-01-20,NO,129767
KYC-0300,CUST-0300,National ID,VERIFIED,2029-01-02,NO,81149
KYC-0301,CUST-0301,SSN,VERIFIED,2029-02-25,NO,87267
KYC-0302,CUST-0302,National ID,VERIFIED,2028-08-09,NO,139935
KYC-0303,CUST-0303,National ID,FAILED,2025-10-17,YES,94301
KYC-0304,CUST-0304,Passport,VERIFIED,2026-11-07,NO,774356
KYC-0305,CUST-0305,Driving License,VERIFIED,2026-12-30,NO,323350
KYC-0306,CUST-0306,Driving License,VERIFIED,2028-09-27,NO,25966
KYC-0307,CUST-0307,Passport,VERIFIED,2028-04-06,NO,376748
KYC-0308,CUST-0308,SSN,VERIFIED,2027-01-31,NO,139456
KYC-0309,CUST-0309,Passport,VERIFIED,2026-10-02,NO,19498
KYC-0310,CUST-0310,SSN,VERIFIED,2029-04-20,NO,360518
KYC-0311,CUST-0311,Driving License,VERIFIED,2026-12-18,NO,88695
KYC-0312,CUST-0312,Driving License,VERIFIED,2027-06-09,NO,100039
KYC-0313,CUST-0313,National ID,VERIFIED,2028-04-07,NO,667942
KYC-0314,CUST-0314,National ID,VERIFIED,2028-10-30,NO,98142
KYC-0315,CUST-0315,National ID,VERIFIED,2027-04-12,NO,100667
KYC-0316,CUST-0316,SSN,VERIFIED,2029-04-16,NO,276748
KYC-0317,CUST-0317,SSN,VERIFIED,2029-01-22,NO,47908
KYC-0318,CUST-0318,SSN,VERIFIED,2028-04-22,NO,367678
KYC-0319,CUST-0319,Passport,VERIFIED,2026-11-08,NO,126662
KYC-0320,CUST-0320,Driving License,VERIFIED,2029-03-23,NO,113374
KYC-0321,CUST-0321,Driving License,EXPIRED,2026-05-19,NO,44225
KYC-0322,CUST-0322,National ID,VERIFIED,2027-04-06,NO,5145998
KYC-0323,CUST-0323,Passport,VERIFIED,2028-12-21,NO,115003
KYC-0324,CUST-0324,National ID,VERIFIED,2028-12-23,NO,56327
KYC-0325,CUST-0325,Driving License,VERIFIED,2028-01-06,NO,94428
KYC-0326,CUST-0326,Passport,VERIFIED,2028-11-05,NO,142657
KYC-0327,CUST-0327,Driving License,EXPIRED,2026-05-08,YES,39096
KYC-0328,CUST-0328,Driving License,VERIFIED,2028-01-27,NO,70047
KYC-0329,CUST-0329,Driving License,VERIFIED,2027-05-23,NO,506085
KYC-0330,CUST-0330,Passport,VERIFIED,2026-12-09,NO,110681
KYC-0331,CUST-0331,SSN,VERIFIED,2027-09-24,NO,55388
KYC-0332,CUST-0332,Driving License,VERIFIED,2027-06-29,NO,3317079
KYC-0333,CUST-0333,Driving License,VERIFIED,2029-01-13,NO,63814
KYC-0334,CUST-0334,SSN,VERIFIED,2029-03-28,NO,57577
KYC-0335,CUST-0335,Driving License,VERIFIED,2028-08-27,NO,47117
KYC-0336,CUST-0336,Passport,VERIFIED,2027-01-10,YES,2163540
KYC-0337,CUST-0337,Passport,VERIFIED,2027-07-13,NO,148626
KYC-0338,CUST-0338,Passport,VERIFIED,2026-09-08,NO,134265
KYC-0339,CUST-0339,Passport,VERIFIED,2027-08-18,NO,33794
KYC-0340,CUST-0340,SSN,VERIFIED,2027-06-15,NO,479915
KYC-0341,CUST-0341,National ID,VERIFIED,2028-01-04,NO,43193
KYC-0342,CUST-0342,Driving License,VERIFIED,2028-01-28,NO,149880
KYC-0343,CUST-0343,Driving License,VERIFIED,2026-09-08,NO,53523
KYC-0344,CUST-0344,SSN,VERIFIED,2027-05-31,NO,134420
KYC-0345,CUST-0345,Driving License,VERIFIED,2028-07-19,NO,27375
KYC-0346,CUST-0346,SSN,VERIFIED,2027-06-19,NO,1328198
KYC-0347,CUST-0347,Passport,VERIFIED,2027-02-28,NO,45664
KYC-0348,CUST-0348,Passport,VERIFIED,2027-10-19,NO,91673
KYC-0349,CUST-0349,Passport,VERIFIED,2027-12-23,NO,145622
KYC-0350,CUST-0350,SSN,VERIFIED,2028-03-06,NO,10781722
KYC-0351,CUST-0351,Driving License,VERIFIED,2029-01-10,NO,144374
KYC-0352,CUST-0352,National ID,VERIFIED,2027-08-28,NO,840423
KYC-0353,CUST-0353,National ID,EXPIRED,2025-11-01,NO,85415
KYC-0354,CUST-0354,Driving License,VERIFIED,2028-11-16,NO,139609
KYC-0355,CUST-0355,National ID,VERIFIED,2027-10-21,NO,32280
KYC-0356,CUST-0356,Passport,VERIFIED,2028-04-10,NO,65470
KYC-0357,CUST-0357,Driving License,VERIFIED,2028-11-02,NO,126681
KYC-0358,CUST-0358,Passport,VERIFIED,2029-01-13,NO,3827885
KYC-0359,CUST-0359,Passport,VERIFIED,2027-07-12,NO,40744
KYC-0360,CUST-0360,National ID,VERIFIED,2028-08-02,NO,22310
KYC-0361,CUST-0361,Driving License,VERIFIED,2028-02-17,NO,650791
KYC-0362,CUST-0362,National ID,VERIFIED,2028-11-06,NO,400412
KYC-0363,CUST-0363,SSN,VERIFIED,2027-05-02,NO,61146
